Local time,Open,High,Low,Close,Volume
08.01.2021 04:00:00.000 GMT-0000,103.840,103.874,103.801,103.861,2716.29
08.01.2021 05:00:00.000 GMT-0000,103.861,103.911,103.842,103.903,2847.5
08.01.2021 06:00:00.000 GMT-0000,103.903,103.925,103.847,103.914,3009.99
08.01.2021 07:00:00.000 GMT-0000,103.913,103.977,103.852,103.970,6521.5898
08.01.2021 08:00:00.000 GMT-0000,103.971,104.092,103.882,103.972,9507.6396
08.01.2021 09:00:00.000 GMT-0000,103.971,103.999,103.797,103.809,6815.7202
08.01.2021 10:00:00.000 GMT-0000,103.809,103.891,103.795,103.891,4012.8701
08.01.2021 11:00:00.000 GMT-0000,103.888,103.892,103.802,103.829,5090.7202
08.01.2021 12:00:00.000 GMT-0000,103.829,103.861,103.786,103.850,4442.1602
08.01.2021 13:00:00.000 GMT-0000,103.852,104.006,103.603,103.633,12479.6201
08.01.2021 14:00:00.000 GMT-0000,103.636,103.920,103.629,103.885,12409.4697
08.01.2021 15:00:00.000 GMT-0000,103.885,104.069,103.778,103.799,9733.4004
08.01.2021 16:00:00.000 GMT-0000,103.800,103.963,103.756,103.894,9939.2695
08.01.2021 17:00:00.000 GMT-0000,103.892,104.026,103.882,103.985,6691.8701
08.01.2021 18:00:00.000 GMT-0000,103.984,104.061,103.948,103.992,6876.0601
08.01.2021 19:00:00.000 GMT-0000,103.991,103.997,103.905,103.906,5139.9902
08.01.2021 20:00:00.000 GMT-0000,103.905,103.961,103.905,103.939,3878.4099
08.01.2021 21:00:00.000 GMT-0000,103.940,103.995,103.870,103.885,1460.38
08.01.2021 22:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
08.01.2021 23:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 00:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 01:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 02:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 03:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 04:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 05:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 06:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 07:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 08:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 09:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 10:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 11:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 12:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 13:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 14:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 15:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 16:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 17:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 18:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 19:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 20:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 21:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 22:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
09.01.2021 23:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 00:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 01:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 02:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 03:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 04:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 05:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 06:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 07:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 08:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 09:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 10:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 11:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 12:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 13:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 14:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 15:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 16:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 17:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 18:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 19:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 20:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 21:00:00.000 GMT-0000,103.885,103.885,103.885,103.885,0
10.01.2021 22:00:00.000 GMT-0000,103.882,103.983,103.881,103.923,1499.83
10.01.2021 23:00:00.000 GMT-0000,103.915,104.097,103.909,104.085,3765.04
11.01.2021 00:00:00.000 GMT-0000,104.086,104.104,104.033,104.058,3566.75
11.01.2021 01:00:00.000 GMT-0000,104.058,104.194,104.034,104.172,4054.5901
11.01.2021 02:00:00.000 GMT-0000,104.172,104.203,104.115,104.126,2712.3799
11.01.2021 03:00:00.000 GMT-0000,104.126,104.198,104.113,104.172,2023.22
11.01.2021 04:00:00.000 GMT-0000,104.170,104.221,104.154,104.193,2545.5701
11.01.2021 05:00:00.000 GMT-0000,104.192,104.218,104.177,104.187,2193.6101
11.01.2021 06:00:00.000 GMT-0000,104.187,104.195,104.104,104.112,2697.51
11.01.2021 07:00:00.000 GMT-0000,104.113,104.198,104.095,104.191,5321.7002
11.01.2021 08:00:00.000 GMT-0000,104.191,104.191,104.054,104.061,6631.0601
11.01.2021 09:00:00.000 GMT-0000,104.065,104.112,104.034,104.104,5312.3398
11.01.2021 10:00:00.000 GMT-0000,104.103,104.156,104.079,104.110,4628.6299
11.01.2021 11:00:00.000 GMT-0000,104.110,104.164,104.084,104.126,3862.74
11.01.2021 12:00:00.000 GMT-0000,104.127,104.248,104.122,104.180,7256.6001
11.01.2021 13:00:00.000 GMT-0000,104.175,104.300,104.170,104.275,7815.6602
11.01.2021 14:00:00.000 GMT-0000,104.273,104.397,104.208,104.367,10533.5
11.01.2021 15:00:00.000 GMT-0000,104.367,104.384,104.232,104.287,8132.3799
11.01.2021 16:00:00.000 GMT-0000,104.289,104.290,104.119,104.155,5924.9302
11.01.2021 17:00:00.000 GMT-0000,104.157,104.181,104.072,104.178,4107.0898
11.01.2021 18:00:00.000 GMT-0000,104.179,104.183,104.120,104.160,2454.1499
11.01.2021 19:00:00.000 GMT-0000,104.161,104.163,104.105,104.156,1949.5601
11.01.2021 20:00:00.000 GMT-0000,104.155,104.178,104.110,104.175,2504.53
11.01.2021 21:00:00.000 GMT-0000,104.177,104.257,104.155,104.255,1156.04
11.01.2021 22:00:00.000 GMT-0000,104.261,104.261,104.155,104.206,1515.02
11.01.2021 23:00:00.000 GMT-0000,104.206,104.221,104.127,104.140,1856.84
12.01.2021 00:00:00.000 GMT-0000,104.140,104.228,104.099,104.215,5025.1899
12.01.2021 01:00:00.000 GMT-0000,104.215,104.313,104.207,104.235,4384.7798
12.01.2021 02:00:00.000 GMT-0000,104.238,104.313,104.234,104.305,2836.1399
12.01.2021 03:00:00.000 GMT-0000,104.304,104.306,104.274,104.283,1964.9
12.01.2021 04:00:00.000 GMT-0000,104.284,104.325,104.254,104.305,1798.64
12.01.2021 05:00:00.000 GMT-0000,104.305,104.321,104.217,104.236,2654.6001
12.01.2021 06:00:00.000 GMT-0000,104.234,104.252,104.145,104.161,3390.01
12.01.2021 07:00:00.000 GMT-0000,104.164,104.182,104.107,104.162,4531.8701
12.01.2021 08:00:00.000 GMT-0000,104.163,104.261,104.158,104.217,4658.9399
12.01.2021 09:00:00.000 GMT-0000,104.217,104.259,104.127,104.158,6203.96
12.01.2021 10:00:00.000 GMT-0000,104.160,104.260,104.152,104.258,5038.7202
12.01.2021 11:00:00.000 GMT-0000,104.258,104.258,104.168,104.212,2565.6399
12.01.2021 12:00:00.000 GMT-0000,104.212,104.276,104.181,104.228,5063.6699
12.01.2021 13:00:00.000 GMT-0000,104.227,104.277,104.200,104.247,5064.9102
12.01.2021 14:00:00.000 GMT-0000,104.248,104.332,104.167,104.277,8269.9502
12.01.2021 15:00:00.000 GMT-0000,104.280,104.302,104.163,104.208,6611.9502
12.01.2021 16:00:00.000 GMT-0000,104.210,104.218,104.086,104.091,4415.29
12.01.2021 17:00:00.000 GMT-0000,104.092,104.137,104.053,104.074,3292.3301
12.01.2021 18:00:00.000 GMT-0000,104.075,104.078,103.884,103.936,4614.9102
12.01.2021 19:00:00.000 GMT-0000,103.934,103.934,103.784,103.829,4090.5901
12.01.2021 20:00:00.000 GMT-0000,103.827,103.834,103.720,103.740,3038.1699
12.01.2021 21:00:00.000 GMT-0000,103.740,103.764,103.724,103.753,6222.04
12.01.2021 22:00:00.000 GMT-0000,103.752,103.842,103.751,103.781,1788.59
12.01.2021 23:00:00.000 GMT-0000,103.777,103.798,103.728,103.747,2906.0701
13.01.2021 00:00:00.000 GMT-0000,103.749,103.750,103.618,103.657,4457.23
13.01.2021 01:00:00.000 GMT-0000,103.656,103.663,103.538,103.560,3705.1599
13.01.2021 02:00:00.000 GMT-0000,103.562,103.607,103.525,103.594,4159.1299
13.01.2021 03:00:00.000 GMT-0000,103.597,103.604,103.554,103.586,3360.3799
13.01.2021 04:00:00.000 GMT-0000,103.586,103.646,103.578,103.644,3263.95
13.01.2021 05:00:00.000 GMT-0000,103.646,103.693,103.622,103.684,3809.54
